Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,total_PTS,total_RBS,total_AST,total_MP,total_BLK,total_STL,total_3PT,total_2P
Luke Kennard,28,MEM,SG,4,0,20.0,2.0,4.5,0.444,0.5,2.3,0.222,1.5,2.3,0.667,0.5,0.0,0.0,,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5,18,14,8,80,1,4,2,6
Luke Kornet,29,BOS,C,11,1,16.4,1.9,2.6,0.724,0.0,0.0,,1.9,2.6,0.724,0.724,0.7,0.7,1.0,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5,50,43,6,180,13,6,0,21
Pat Spencer,28,GSW,PG,8,0,7.9,2.0,3.1,0.64,0.1,0.4,0.333,1.9,2.8,0.682,0.66,0.4,0.4,1.0,0.6,0.8,1.4,0.8,0.4,0.0,0.8,1.1,4.5,36,11,6,63,0,3,1,15
Peyton Watson,22,DEN,SF,14,0,14.2,1.7,4.2,0.407,0.5,1.4,0.368,1.2,2.9,0.425,0.466,0.6,1.1,0.5,1.0,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5,63,41,4,199,8,11,7,17
Leonard Miller,21,MIN,SF,3,0,4.3,2.0,2.7,0.75,0.3,0.3,1.0,1.7,2.3,0.714,0.813,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.0,4.3,13,5,0,13,0,0,1,5
Duncan Robinson,30,MIA,SF,4,0,14.8,1.3,3.5,0.357,1.0,3.0,0.333,0.3,0.5,0.5,0.5,0.8,1.0,0.75,0.0,1.0,1.0,0.3,0.0,0.0,1.5,1.5,4.3,17,4,1,59,0,0,4,1
Kevin Knox,25,GSW,SF,5,0,7.6,1.6,4.0,0.4,0.2,1.2,0.167,1.4,2.8,0.5,0.425,0.8,1.0,0.8,0.6,0.8,1.4,0.8,0.0,0.2,0.4,0.4,4.2,21,7,4,38,1,0,1,7
Julian Strawther,22,DEN,SG,9,0,9.8,1.4,3.3,0.433,0.7,1.3,0.5,0.8,2.0,0.389,0.533,0.7,0.8,0.857,0.4,0.6,1.0,0.2,0.2,0.1,0.6,1.2,4.2,38,9,2,88,1,2,6,7
Trayce Jackson-Davis,24,GSW,C,9,3,8.9,1.8,2.0,0.889,0.0,0.0,,1.8,2.0,0.889,0.889,0.6,1.4,0.385,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1,37,21,2,80,2,3,0,16
Aaron Holiday,28,HOU,PG,3,0,9.0,1.3,3.3,0.4,0.7,1.7,0.4,0.7,1.7,0.4,0.5,0.7,1.3,0.5,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,4.0,12,2,3,27,0,0,2,2
